title,price,img
Brightech Ambience Pro Outdoor String Lights - Commercial Grade Waterproof Patio Lights with 48 Ft Dimmable Incandescent Edison Bulbs. Porch String Lights for Patio. Backyard - 15 Bulbs 11W,$39.99,https://m.media-amazon.com/images/I/715LnXudvuL._AC_UL320_.jpg
XMCOSY+ Outdoor String Lights. Smart 49Ft Patio Lights RGB. App & WiFi Control Color Changing LED String Lights with Dimmable 15 LED Bulbs. Works with Alexa. IP65 Waterproof. Shatterproof,$69.99,https://m.media-amazon.com/images/I/71IHJHKyt9L._AC_UL320_.jpg
Ring Solar Steplight -- Outdoor Motion-Sensor Security Light. Black (Bridge required),$29.99,https://m.media-amazon.com/images/I/51HkHPQyqtL._AC_UL320_.jpg
Philips Hue Calla Outdoor Smart Pathway Light - White & Color Ambiance LED Walkway Lights - Low Voltage Lighting - 1 Pack - Requires Bridge and Power Supply - Control with App and Voice - Weatherproof,$116.97,https://m.media-amazon.com/images/I/71mqj6ZQ7VL._AC_UL320_.jpg
Philips Hue Lily XL Outdoor Smart Spot Light - White & Color Ambiance LED Walkway Lights - Low Voltage Lighting - 1 Pack - Requires Bridge and Power Supply - Control with App and Voice - Weatherproof,$154.00,https://m.media-amazon.com/images/I/71LYxOsirGL._AC_UL320_.jpg
XMCOSY+ Outdoor String Lights. 98Ft Smart Patio Lights Waterproof. WiFi Control. Work with Alexa. Dimmable Edison LED String Lights for Outside Yard,$84.99,https://m.media-amazon.com/images/I/71sS6RDCN9L._AC_UL320_.jpg
Cree Lighting Connected Max Smart Led Bulb Par38 Outdoor Flood Tunable White + Color Changing. 2.4 Ghz. Works with Alexa and Google Home. No Hub Required. Bluetooth + WiFi. 1Pk,$13.49,https://m.media-amazon.com/images/I/81qQxUItNtL._AC_UL320_.jpg
SURAIELEC WiFi Pool Timer. 40 AMP. 1HP 120V. 2HP 240V. Outdoor Indoor Smart Switch. Heavy Duty Pool Controller Light Timer Box for Pool Pump. Water Heater. Spa. Powerful Electrical Appliances,$42.99,https://m.media-amazon.com/images/I/719q-ITx2lS._AC_UL320_.jpg
Philips Hue White & Color Ambiance Outdoor LightStrip 5m/16ft (Requires Hue Hub. Works with Amazon Alexa Apple HomeKit and Google Assistant) (530931),$238.45,https://m.media-amazon.com/images/I/71HWjLUvkYL._AC_UL320_.jpg
Galaxy Lamps The Authentic Galaxy Projector (Blue Stars) | LED Nebula Projector | Star Light Projector for Bedroom | Galaxy Gaming Lights | Star Projector Night Light | Light Projector for Relaxation,$79.99,https://m.media-amazon.com/images/I/51FpcywVuyL._AC_UL320_.jpg
Philips Hue Appear Outdoor Smart Wall Light. Black - White and Color Ambiance LED Color-Changing Light - 1 Pack - Requires Hue Bridge - Control with Hue App and Voice - Weatherproof,$117.79,https://m.media-amazon.com/images/I/71QqNDGWQiL._AC_UL320_.jpg
